name,ring,quadrant,isNew,description
Allure Test OPS,Adopt,Tools,False ,наша система тест менеджемента 
Kibana,Adopt,Tools,False ,работаем с логами сервисов 
Grafana,Adopt,Tools,False ,работаем с метриками сервисов
PL/SQL Developer,Adopt,Tools,False ,раобтаем с БД
Gitlab,Adopt,Tools,TRUE,
Git,Adopt,Tools,False ,
Maven,Adopt,Tools,False ,Используем при автоматизации тест-кейсов
TestNG,Adopt,Tools,False ,Используем при автоматизации тест-кейсов
Jenkins,Adopt,Tools,False ,
Jira,Adopt,Tools,False ,
Vault,Adopt,Tools,False ,
SoapUI,Hold,Tools,False ,
Postman,Hold,Tools,False ,
DBeaver,Adopt,Tools,False ,
BloomRPC,Adopt,Tools,False ,
Swagger,Adopt,Tools,False ,
Confluence,Adopt,Tools,False ,
TrankBased Development,Assess,Techniques,TRUE,
shift left testing,Adopt,Techniques,False ,
3 амиго,Adopt,Techniques,TRUE,
Планирование релизов,Adopt,Techniques,False ,
Kanban метод,Adopt,Techniques,TRUE,
daily,Adopt,Techniques,False ,
Load testing,Assess,Techniques,False ,
Kafka,Adopt,Platforms,False ,
Docker,Adopt,Platforms,False ,
Cassandra,Adopt,Platforms,False ,
Oracle,Adopt,Platforms,False ,
Posgre,Adopt,Platforms,False ,
Ignite,Adopt,Platforms,False ,
Java 11,Adopt,Programming Languages and Frameworks,False ,
PL SQL,Adopt,Programming Languages and Frameworks,False ,"работаем с разрабатываемым кодом, пишем свои хранимки и функции"
Spring,Adopt,Programming Languages and Frameworks,False ,
Stash,Hold,Tools,False ,
